行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,達標,未達標
5,公民與社會發展,,總數,人數,44927,43677,,40932,2745
6,公民與社會發展,,總數,百分比,,,85.9,93.7%,6.3%
